session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
afvhlwgo,1,zv7p1wdw,0,,InitializeParticipant,1670333259,1,0,0
afvhlwgo,1,zv7p1wdw,1,preexperiment,InformedConsentDE,1670333262,1,0,0
afvhlwgo,2,in5iikk2,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,3,uchnee5t,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,4,j14txluv,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,5,f30zz324,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,6,62fxus8g,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,7,vwgje480,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,8,v6hod3d1,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,9,v6ly4dzs,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,10,14sy0yg8,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,11,ehpg3nsi,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,12,xlhrrn7j,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,13,o5rxdrlx,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,14,zf89psdf,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,15,twp44xgt,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,16,4avl0i5c,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,17,v6ql0xfy,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,18,51wnm6zx,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,19,py04sdur,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,20,4m6opt3y,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,21,odq10493,0,,InitializeParticipant,1670333266,1,0,0
afvhlwgo,22,fr3vgpm1,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,23,mo0eo7yp,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,24,0m1jv1jp,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,25,dd4o8tw1,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,26,x15c77w2,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,27,xr354fk1,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,28,n8ifpv2f,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,29,fcysrrsz,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,30,q6vnvzvv,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,31,qoij0dil,0,,InitializeParticipant,1670333267,1,0,0
afvhlwgo,32,h5b7167z,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,33,ruopwisk,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,34,hupx1tf3,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,35,sonujxlc,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,36,7bzk27up,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,37,ejknbgvp,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,38,h2894zse,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,39,42bk3m6y,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,40,0odwtoql,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,41,nz14f9m4,0,,InitializeParticipant,1670333268,1,0,0
afvhlwgo,42,ahez96zm,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,43,u0mykwjl,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,44,smrv6avk,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,45,wno769ql,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,46,483dscsv,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,47,8aci1k2y,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,48,ruj6ego6,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,49,phi22uzx,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,50,gy4ar7wi,0,,InitializeParticipant,1670333269,1,0,0
afvhlwgo,2,in5iikk2,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,3,uchnee5t,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,4,j14txluv,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,5,f30zz324,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,6,62fxus8g,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,7,vwgje480,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,8,v6hod3d1,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,9,v6ly4dzs,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,10,14sy0yg8,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,11,ehpg3nsi,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,12,xlhrrn7j,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,13,o5rxdrlx,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,14,zf89psdf,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,15,twp44xgt,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,16,4avl0i5c,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,17,v6ql0xfy,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,18,51wnm6zx,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,19,py04sdur,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,20,4m6opt3y,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,21,odq10493,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,22,fr3vgpm1,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,23,mo0eo7yp,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,24,0m1jv1jp,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,25,dd4o8tw1,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,26,x15c77w2,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,27,xr354fk1,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,28,n8ifpv2f,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,29,fcysrrsz,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,30,q6vnvzvv,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,31,qoij0dil,1,preexperiment,InformedConsentDE,1670333270,1,1,0
afvhlwgo,32,h5b7167z,1,preexperiment,InformedConsentDE,1670333271,1,1,0
afvhlwgo,33,ruopwisk,1,preexperiment,InformedConsentDE,1670333271,1,1,0
