label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint
5d921a2e34fc500016df8e5f,80.0,1,0.0,80.0,healthy,5416.0,20297.0,,3360.0,,11134.0,3618.0,23842.0,21407.0,80.0,10.0,53.75,0.3220395695513543,8.0,1.0,7.8731,1.0,30.0,95.0,xrpyznfk,neginfo,40.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,685.0,5.0,5.0
5a6b2c0d9d65ec00017e715e,20.0,1,1.0,8.0,ill,,,,,,71.0,80.0,63.0,12685.0,8.0,10.0,45.75,0.3220395695513543,8.0,1.0,7.8731,1.0,30.0,95.0,xrpyznfk,varinfo,23.0,0.0,0.0,8.0,0.0,0.0,-1.0,0.0,0.0,5.0,4.0,6.0,7.0,7.0,481.0,9.0,4.0
5780d9a1900cc80001d2d1c2,100.0,1,1.0,10.0,healthy,15367.0,24262.0,,3471.0,16112.0,16478.0,10117.0,29796.0,27983.0,10.0,20.0,52.25,0.3220395695513543,8.0,1.0,7.8731,1.0,0.0,50.0,xrpyznfk,baseline,66.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,3.0,5.0,3.0,536.0,8.0,7.0
5fb4661ad97d9a1668f07086,80.0,1,1.0,19.0,ill,4862.0,13777.0,,1563.0,,,,3899.0,10817.0,19.0,20.0,49.0,0.3220395695513543,8.0,1.0,7.8731,1.0,10.0,65.0,xrpyznfk,posinfo,39.0,1.0,0.0,8.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,452.0,7.0,8.0
542c323bfdf99b324ea3808d,60.0,1,0.0,32.0,healthy,1468.0,154.0,,217.0,1658.0,1298.0,3595.0,12947.0,12419.0,32.0,10.0,32.25,0.3220395695513543,8.0,1.0,7.8731,1.0,15.0,35.0,xrpyznfk,fullinfo,50.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0,5.0,6.0,5.0,4.0,3.0,4.0,712.0,7.0,0.0
5d76ac914c93440001c03fd7,40.0,1,0.0,34.0,healthy,9400.0,,,1240.0,,70506.0,21799.0,50006.0,44004.0,34.0,10.0,15.0,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,0.0,xrpyznfk,neginfo,35.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,5.0,7.0,7.0,0.0,3.0,6.0,578.0,6.0,6.0
63483069e7c6931be7b56fe9,60.0,1,0.0,25.0,healthy,263.0,358.0,,875.0,965.0,2430.0,1048.0,2066.0,1526.0,25.0,15.0,50.0,0.2689415536215669,4.0,1.0,2.0,1.0,5.0,57.5,xrpyznfk,baseline,27.0,0.0,0.0,7.0,3.0,4.0,0.0,1.0,6.0,8.0,3.0,0.0,0.0,6.0,681.5,0.0,4.0
60bceb1dcefc0afe67041489,80.0,1,0.0,57.0,ill,,,,,,36541.0,14831.0,55328.0,26874.0,57.0,20.0,25.5,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,xrpyznfk,posinfo,48.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,6.0,9.0,8.0,7.0,4.0,7.0,561.0,3.0,8.0
5a67676a35f26b000149689d,100.0,1,1.0,20.0,healthy,4543.0,21120.0,,1497.0,12040.0,6362.0,5155.0,8431.0,10682.0,20.0,25.0,26.75,0.2689415536215669,4.0,1.0,2.0,1.0,10.0,40.0,xrpyznfk,fullinfo,28.0,1.0,0.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,724.0,7.0,5.0
5f8ef8e63fdd230d00f5d0e4,80.0,1,0.0,11.0,ill,10048.0,8282.0,,1221.0,,4545.0,8508.0,10004.0,29339.0,11.0,8.0,36.5,0.2689415536215669,4.0,1.0,2.0,1.0,50.0,125.0,xrpyznfk,varinfo,48.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,6.0,2.0,3.0,654.0,4.0,5.0
5be1fe1eca095c0001ba077a,20.0,1,0.0,6.0,healthy,116.0,,,134.0,,249.0,,114.0,150.0,6.0,4.0,16.0,0.2141651641257343,6.0,0.0,4.0,0.0,0.0,50.0,xrpyznfk,neginfo,51.0,1.0,1.0,8.0,2.0,1.0,1.0,0.0,4.0,2.0,6.0,3.0,2.0,5.0,440.0,3.0,
5d49d17b3dad1f0001e2aba1,100.0,1,1.0,50.0,healthy,5944.0,3691.0,,3310.0,2341.0,215.0,204.0,316.0,3240.0,50.0,50.0,40.0,0.2141651641257343,6.0,0.0,4.0,0.0,50.0,0.0,xrpyznfk,fullinfo,35.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,584.0,9.0,9.0
61543eaa6278eff1d74aafc9,80.0,1,1.0,3.0,healthy,4365.0,24948.0,,2329.0,,44867.0,22063.0,15799.0,21292.0,3.0,60.0,57.75,0.2141651641257343,6.0,0.0,4.0,0.0,50.0,125.0,xrpyznfk,posinfo,25.0,1.0,1.0,6.0,1.0,2.0,1.0,0.0,6.0,3.0,7.0,4.0,5.0,3.0,614.0,5.0,6.0
