session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
rv8l9v05,1,op30g8ti,0,,InitializeParticipant,1671286163,1,0,0
rv8l9v05,2,r41kggz3,0,,InitializeParticipant,1671286167,1,0,0
rv8l9v05,3,1ijmsvad,0,,InitializeParticipant,1671286169,1,0,0
rv8l9v05,4,f0eh3vy9,0,,InitializeParticipant,1671286170,1,0,0
rv8l9v05,3,1ijmsvad,1,preexperiment,InformedConsentDE,1671286173,1,0,0
rv8l9v05,5,93fgxxel,0,,InitializeParticipant,1671286174,1,0,0
rv8l9v05,6,ixdbf27k,0,,InitializeParticipant,1671286175,1,0,0
rv8l9v05,1,op30g8ti,1,preexperiment,InformedConsentDE,1671286177,1,0,0
rv8l9v05,7,ym2jnmic,0,,InitializeParticipant,1671286178,1,0,0
rv8l9v05,8,e5r7rkhi,0,,InitializeParticipant,1671286179,1,0,0
rv8l9v05,9,qu3yj4pm,0,,InitializeParticipant,1671286183,1,0,0
rv8l9v05,4,f0eh3vy9,1,preexperiment,InformedConsentDE,1671286184,1,0,0
rv8l9v05,5,93fgxxel,1,preexperiment,InformedConsentDE,1671286184,1,0,0
rv8l9v05,10,gqozzs8n,0,,InitializeParticipant,1671286188,1,0,0
rv8l9v05,11,ja619a97,0,,InitializeParticipant,1671286191,1,0,0
rv8l9v05,12,rbix6hdd,0,,InitializeParticipant,1671286192,1,0,0
rv8l9v05,13,9w4lrwyl,0,,InitializeParticipant,1671286192,1,0,0
rv8l9v05,9,qu3yj4pm,1,preexperiment,InformedConsentDE,1671286192,1,0,0
rv8l9v05,14,rwsde43k,0,,InitializeParticipant,1671286194,1,0,0
rv8l9v05,8,e5r7rkhi,1,preexperiment,InformedConsentDE,1671286196,1,0,0
rv8l9v05,15,f1j956sq,0,,InitializeParticipant,1671286199,1,0,0
rv8l9v05,5,93fgxxel,2,preexperiment,Instructions,1671286199,1,0,0
rv8l9v05,3,1ijmsvad,2,preexperiment,Instructions,1671286199,1,0,0
rv8l9v05,12,rbix6hdd,1,preexperiment,InformedConsentDE,1671286199,1,0,0
rv8l9v05,16,y6e7gpvl,0,,InitializeParticipant,1671286200,1,0,0
rv8l9v05,2,r41kggz3,1,preexperiment,InformedConsentDE,1671286203,1,0,0
rv8l9v05,5,93fgxxel,3,preexperiment,PartIWelcome,1671286203,1,0,0
rv8l9v05,3,1ijmsvad,3,preexperiment,PartIWelcome,1671286205,1,0,0
rv8l9v05,6,ixdbf27k,1,preexperiment,InformedConsentDE,1671286206,1,0,0
rv8l9v05,17,x0yhuq19,0,,InitializeParticipant,1671286206,1,0,0
rv8l9v05,18,849lb0ui,0,,InitializeParticipant,1671286210,1,0,0
rv8l9v05,12,rbix6hdd,2,preexperiment,Instructions,1671286211,1,0,0
rv8l9v05,12,rbix6hdd,3,preexperiment,PartIWelcome,1671286214,1,0,0
rv8l9v05,14,rwsde43k,1,preexperiment,InformedConsentDE,1671286216,1,0,0
rv8l9v05,16,y6e7gpvl,1,preexperiment,InformedConsentDE,1671286219,1,0,0
rv8l9v05,8,e5r7rkhi,2,preexperiment,Instructions,1671286222,1,0,0
rv8l9v05,8,e5r7rkhi,3,preexperiment,PartIWelcome,1671286227,1,0,0
rv8l9v05,7,ym2jnmic,1,preexperiment,InformedConsentDE,1671286227,1,0,0
rv8l9v05,11,ja619a97,1,preexperiment,InformedConsentDE,1671286227,1,0,0
rv8l9v05,17,x0yhuq19,1,preexperiment,InformedConsentDE,1671286232,1,0,0
rv8l9v05,10,gqozzs8n,1,preexperiment,InformedConsentDE,1671286233,1,0,0
rv8l9v05,6,ixdbf27k,2,preexperiment,Instructions,1671286234,1,0,0
rv8l9v05,18,849lb0ui,1,preexperiment,InformedConsentDE,1671286236,1,0,0
rv8l9v05,16,y6e7gpvl,2,preexperiment,Instructions,1671286240,1,0,0
rv8l9v05,4,f0eh3vy9,2,preexperiment,Instructions,1671286240,1,0,0
rv8l9v05,14,rwsde43k,2,preexperiment,Instructions,1671286241,1,0,0
rv8l9v05,13,9w4lrwyl,1,preexperiment,InformedConsentDE,1671286242,1,0,0
rv8l9v05,16,y6e7gpvl,3,preexperiment,PartIWelcome,1671286244,1,0,0
rv8l9v05,14,rwsde43k,3,preexperiment,PartIWelcome,1671286244,1,0,0
rv8l9v05,4,f0eh3vy9,3,preexperiment,PartIWelcome,1671286246,1,0,0
rv8l9v05,5,93fgxxel,4,preexperiment,Questionnaire,1671286249,1,0,0
rv8l9v05,15,f1j956sq,1,preexperiment,InformedConsentDE,1671286251,1,0,0
rv8l9v05,19,f101eo4w,0,,InitializeParticipant,1671286253,1,0,0
rv8l9v05,17,x0yhuq19,2,preexperiment,Instructions,1671286256,1,0,0
rv8l9v05,5,93fgxxel,5,preexperiment,RiskElicitation,1671286259,1,0,0
rv8l9v05,11,ja619a97,2,preexperiment,Instructions,1671286259,1,0,0
rv8l9v05,5,93fgxxel,6,preexperiment,ResultsRisk,1671286261,1,0,0
rv8l9v05,17,x0yhuq19,3,preexperiment,PartIWelcome,1671286261,1,0,0
rv8l9v05,11,ja619a97,3,preexperiment,PartIWelcome,1671286266,1,0,0
rv8l9v05,20,ellno8s3,0,,InitializeParticipant,1671286267,1,0,0
rv8l9v05,2,r41kggz3,2,preexperiment,Instructions,1671286268,1,0,0
rv8l9v05,20,ellno8s3,1,preexperiment,InformedConsentDE,1671286270,1,0,0
rv8l9v05,7,ym2jnmic,2,preexperiment,Instructions,1671286271,1,0,0
rv8l9v05,19,f101eo4w,1,preexperiment,InformedConsentDE,1671286272,1,0,0
rv8l9v05,2,r41kggz3,3,preexperiment,PartIWelcome,1671286272,1,0,0
rv8l9v05,6,ixdbf27k,3,preexperiment,PartIWelcome,1671286273,1,0,0
rv8l9v05,10,gqozzs8n,2,preexperiment,Instructions,1671286273,1,0,0
rv8l9v05,3,1ijmsvad,4,preexperiment,Questionnaire,1671286273,1,0,0
rv8l9v05,5,93fgxxel,7,preexperiment,PartIIWelcome,1671286275,1,0,0
rv8l9v05,1,op30g8ti,2,preexperiment,Instructions,1671286276,1,0,0
rv8l9v05,8,e5r7rkhi,4,preexperiment,Questionnaire,1671286277,1,0,0
rv8l9v05,10,gqozzs8n,3,preexperiment,PartIWelcome,1671286278,1,0,0
rv8l9v05,1,op30g8ti,3,preexperiment,PartIWelcome,1671286280,1,0,0
rv8l9v05,12,rbix6hdd,4,preexperiment,Questionnaire,1671286282,1,0,0
rv8l9v05,21,25vxzqee,0,,InitializeParticipant,1671286282,1,0,0
rv8l9v05,7,ym2jnmic,3,preexperiment,PartIWelcome,1671286284,1,0,0
rv8l9v05,19,f101eo4w,2,preexperiment,Instructions,1671286287,1,0,0
rv8l9v05,14,rwsde43k,4,preexperiment,Questionnaire,1671286287,1,0,0
rv8l9v05,13,9w4lrwyl,2,preexperiment,Instructions,1671286289,1,0,0
rv8l9v05,16,y6e7gpvl,4,preexperiment,Questionnaire,1671286289,1,0,0
rv8l9v05,19,f101eo4w,3,preexperiment,PartIWelcome,1671286290,1,0,0
rv8l9v05,18,849lb0ui,2,preexperiment,Instructions,1671286290,1,0,0
rv8l9v05,3,1ijmsvad,5,preexperiment,RiskElicitation,1671286292,1,0,0
rv8l9v05,20,ellno8s3,2,preexperiment,Instructions,1671286295,1,0,0
rv8l9v05,3,1ijmsvad,6,preexperiment,ResultsRisk,1671286295,1,0,0
rv8l9v05,18,849lb0ui,3,preexperiment,PartIWelcome,1671286297,1,0,0
rv8l9v05,14,rwsde43k,5,preexperiment,RiskElicitation,1671286298,1,0,0
rv8l9v05,21,25vxzqee,1,preexperiment,InformedConsentDE,1671286300,1,0,0
rv8l9v05,14,rwsde43k,6,preexperiment,ResultsRisk,1671286302,1,0,0
rv8l9v05,16,y6e7gpvl,5,preexperiment,RiskElicitation,1671286303,1,0,0
rv8l9v05,12,rbix6hdd,5,preexperiment,RiskElicitation,1671286304,1,0,0
rv8l9v05,13,9w4lrwyl,3,preexperiment,PartIWelcome,1671286306,1,0,0
rv8l9v05,16,y6e7gpvl,6,preexperiment,ResultsRisk,1671286306,1,0,0
rv8l9v05,20,ellno8s3,3,preexperiment,PartIWelcome,1671286306,1,0,0
rv8l9v05,12,rbix6hdd,6,preexperiment,ResultsRisk,1671286307,1,0,0
rv8l9v05,14,rwsde43k,7,preexperiment,PartIIWelcome,1671286307,1,0,0
rv8l9v05,3,1ijmsvad,7,preexperiment,PartIIWelcome,1671286308,1,0,0
rv8l9v05,22,bw2cocq3,0,,InitializeParticipant,1671286313,1,0,0
rv8l9v05,2,r41kggz3,4,preexperiment,Questionnaire,1671286318,1,0,0
rv8l9v05,16,y6e7gpvl,7,preexperiment,PartIIWelcome,1671286318,1,0,0
rv8l9v05,5,93fgxxel,8,preexperiment,HL,1671286319,1,0,0
rv8l9v05,15,f1j956sq,2,preexperiment,Instructions,1671286325,1,0,0
rv8l9v05,17,x0yhuq19,4,preexperiment,Questionnaire,1671286326,1,0,0
rv8l9v05,21,25vxzqee,2,preexperiment,Instructions,1671286328,1,0,0
rv8l9v05,12,rbix6hdd,7,preexperiment,PartIIWelcome,1671286328,1,0,0
rv8l9v05,21,25vxzqee,3,preexperiment,PartIWelcome,1671286330,1,0,0
rv8l9v05,14,rwsde43k,8,preexperiment,HL,1671286331,1,0,0
rv8l9v05,10,gqozzs8n,4,preexperiment,Questionnaire,1671286336,1,0,0
rv8l9v05,8,e5r7rkhi,5,preexperiment,RiskElicitation,1671286340,1,0,0
rv8l9v05,17,x0yhuq19,5,preexperiment,RiskElicitation,1671286342,1,0,0
rv8l9v05,8,e5r7rkhi,6,preexperiment,ResultsRisk,1671286342,1,0,0
rv8l9v05,19,f101eo4w,4,preexperiment,Questionnaire,1671286344,1,0,0
rv8l9v05,17,x0yhuq19,6,preexperiment,ResultsRisk,1671286345,1,0,0
rv8l9v05,15,f1j956sq,3,preexperiment,PartIWelcome,1671286346,1,0,0
rv8l9v05,20,ellno8s3,4,preexperiment,Questionnaire,1671286347,1,0,0
rv8l9v05,10,gqozzs8n,5,preexperiment,RiskElicitation,1671286347,1,0,0
rv8l9v05,3,1ijmsvad,8,preexperiment,HL,1671286348,1,0,0
rv8l9v05,2,r41kggz3,5,preexperiment,RiskElicitation,1671286350,1,0,0
rv8l9v05,11,ja619a97,4,preexperiment,Questionnaire,1671286350,1,0,0
rv8l9v05,10,gqozzs8n,6,preexperiment,ResultsRisk,1671286351,1,0,0
rv8l9v05,2,r41kggz3,6,preexperiment,ResultsRisk,1671286352,1,0,0
rv8l9v05,4,f0eh3vy9,4,preexperiment,Questionnaire,1671286353,1,0,0
rv8l9v05,19,f101eo4w,5,preexperiment,RiskElicitation,1671286355,1,0,0
rv8l9v05,8,e5r7rkhi,7,preexperiment,PartIIWelcome,1671286356,1,0,0
rv8l9v05,17,x0yhuq19,7,preexperiment,PartIIWelcome,1671286357,1,0,0
rv8l9v05,13,9w4lrwyl,4,preexperiment,Questionnaire,1671286357,1,0,0
rv8l9v05,14,rwsde43k,9,preexperiment,HLLossFraming,1671286358,1,0,0
rv8l9v05,6,ixdbf27k,4,preexperiment,Questionnaire,1671286359,1,0,0
rv8l9v05,10,gqozzs8n,7,preexperiment,PartIIWelcome,1671286360,1,0,0
rv8l9v05,14,rwsde43k,10,preexperiment,AssignLosses,1671286360,1,0,0
rv8l9v05,2,r41kggz3,7,preexperiment,PartIIWelcome,1671286362,1,0,0
rv8l9v05,19,f101eo4w,6,preexperiment,ResultsRisk,1671286362,1,0,0
rv8l9v05,12,rbix6hdd,8,preexperiment,HL,1671286365,1,0,0
rv8l9v05,5,93fgxxel,9,preexperiment,HLLossFraming,1671286368,1,0,0
rv8l9v05,19,f101eo4w,7,preexperiment,PartIIWelcome,1671286369,1,0,0
rv8l9v05,23,m6apoe6h,0,,InitializeParticipant,1671286371,1,0,0
rv8l9v05,11,ja619a97,5,preexperiment,RiskElicitation,1671286371,1,0,0
rv8l9v05,5,93fgxxel,10,preexperiment,AssignLosses,1671286372,1,0,0
rv8l9v05,21,25vxzqee,4,preexperiment,Questionnaire,1671286375,1,0,0
rv8l9v05,11,ja619a97,6,preexperiment,ResultsRisk,1671286376,1,0,0
rv8l9v05,22,bw2cocq3,1,preexperiment,InformedConsentDE,1671286377,1,0,0
rv8l9v05,16,y6e7gpvl,8,preexperiment,HL,1671286378,1,0,0
rv8l9v05,20,ellno8s3,5,preexperiment,RiskElicitation,1671286378,1,0,0
rv8l9v05,14,rwsde43k,11,informationtreatment,PartIIIWelcome,1671286379,1,0,0
rv8l9v05,13,9w4lrwyl,5,preexperiment,RiskElicitation,1671286379,1,0,0
rv8l9v05,20,ellno8s3,6,preexperiment,ResultsRisk,1671286381,1,0,0
rv8l9v05,13,9w4lrwyl,6,preexperiment,ResultsRisk,1671286381,1,0,0
rv8l9v05,21,25vxzqee,5,preexperiment,RiskElicitation,1671286384,1,0,0
rv8l9v05,6,ixdbf27k,5,preexperiment,RiskElicitation,1671286384,1,0,0
rv8l9v05,5,93fgxxel,11,informationtreatment,PartIIIWelcome,1671286385,1,0,0
rv8l9v05,21,25vxzqee,6,preexperiment,ResultsRisk,1671286386,1,0,0
rv8l9v05,4,f0eh3vy9,5,preexperiment,RiskElicitation,1671286387,1,0,0
