label,loss_amount,round_number,purchased_coverage,random_number,state,timer_faq_choiceaffectsprice,timer_faq_howitworks,timer_faq_noinsurance,timer_faq_coverage,timer_char7,timer_char4,timer_char3,timer_char2,timer_char1,insurance,WTP,belief,prob,var4,var3,var2,var1,number_entered,result_risk,session.code,treatment,age,gender,smoker,health,exercisedays,exercisehours,insurancehealth,lifeinsurance,riskdriving,riskfinance,risksport,riskjob,riskhealth,risk,final_payoff,HL_switchpoint,HLLF_switchpoint
5fbf94f2891c55203896f7dc,60.0,1,1.0,11.0,healthy,10966.0,26993.0,,2693.0,,8018.0,7196.0,22127.0,9787.0,11.0,20.0,60.0,0.3220395695513543,8.0,1.0,7.8731,1.0,10.0,40.0,ifelqzj3,baseline,4.0,0.0,1.0,6.0,0.0,0.0,-1.0,0.0,1.0,2.0,3.0,2.0,2.0,4.0,430.0,3.0,
5c408532e1443100010726e2,40.0,1,0.0,34.0,healthy,1956.0,18496.0,,988.0,,3086.0,7851.0,7624.0,6994.0,34.0,20.0,53.5,0.3220395695513543,8.0,1.0,7.8731,1.0,50.0,125.0,ifelqzj3,posinfo,38.0,0.0,0.0,8.0,2.0,0.5,1.0,0.0,2.0,6.0,3.0,2.0,1.0,4.0,543.0,7.0,8.0
62e17900c4ff2316a7297ce6,80.0,1,0.0,27.0,healthy,228.0,1126.0,,682.0,22.0,7802.0,2.0,6.0,49.0,27.0,25.0,45.75,0.3220395695513543,8.0,1.0,7.8731,1.0,25.0,87.5,ifelqzj3,fullinfo,38.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,3.0,624.5,,
5edeea354d54cb1a825aa8f9,20.0,1,0.0,18.0,healthy,,,,,,,,,194.0,18.0,15.0,40.0,0.3220395695513543,8.0,1.0,7.8731,1.0,25.0,25.0,ifelqzj3,varinfo,45.0,0.0,0.0,8.0,5.0,1.0,1.0,1.0,0.0,7.0,5.0,4.0,0.0,7.0,552.0,5.0,
5b74411d95d7040001fed474,20.0,1,1.0,5.0,ill,5218.0,3573.0,,1384.0,,12518.0,6602.0,27228.0,31307.0,5.0,16.0,26.25,0.3220395695513543,8.0,1.0,7.8731,1.0,40.0,10.0,ifelqzj3,neginfo,49.0,0.0,1.0,5.0,4.0,0.5,-1.0,0.0,1.0,7.0,6.0,5.0,8.0,6.0,610.0,6.0,5.0
5964e073241f8d0001065056,60.0,1,0.0,40.0,healthy,,,,,,,,28466.0,18359.0,40.0,22.0,51.0,0.2689415536215669,4.0,1.0,2.0,1.0,25.0,25.0,ifelqzj3,neginfo,65.0,0.0,0.0,9.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,476.0,3.0,4.0
5ea180ae34f3aa0319313965,60.0,1,0.0,51.0,ill,180.0,83.0,,,,552.0,838.0,136.0,72.0,51.0,48.0,91.75,0.2689415536215669,4.0,1.0,2.0,1.0,7.0,43.0,ifelqzj3,posinfo,35.0,0.0,0.0,10.0,6.0,1.5,0.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,562.0,,
609140cea1442672dd2141d7,40.0,1,0.0,17.0,ill,2754.0,587.0,,2120.0,,,,,439.0,17.0,16.0,44.0,0.2689415536215669,4.0,1.0,2.0,1.0,25.0,25.0,ifelqzj3,baseline,45.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,5.0,6.0,5.0,3.0,7.0,488.0,,4.0
5ed1566237d27008e6239275,20.0,1,0.0,5.0,ill,,,,,,,,,,5.0,4.0,35.25,0.2689415536215669,4.0,1.0,2.0,1.0,0.25,50.375,ifelqzj3,fullinfo,36.0,0.0,0.0,8.0,3.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,453.375,,
55c3b47dfdf99b52bdba86da,20.0,1,1.0,10.0,healthy,6330.0,443.0,,475.0,,219.0,222.0,454.0,719.0,10.0,12.0,61.0,0.2689415536215669,4.0,1.0,2.0,1.0,5.0,45.0,ifelqzj3,varinfo,23.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,3.0,512.0,0.0,4.0
56abcb46f209e0000adab961,80.0,1,0.0,13.0,healthy,4126.0,9470.0,,1172.0,,8443.0,7397.0,22652.0,29218.0,13.0,10.0,30.25,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,40.0,ifelqzj3,neginfo,62.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,625.0,8.0,4.0
5bb20c4ce05c350001ef337e,40.0,1,0.0,34.0,healthy,220.0,,,212.0,222.0,,2630.0,217.0,,34.0,15.0,50.0,0.2141651641257343,6.0,0.0,4.0,0.0,1.0,49.0,ifelqzj3,fullinfo,67.0,1.0,0.0,10.0,7.0,1.0,-1.0,-1.0,0.0,2.0,3.0,3.0,0.0,1.0,627.0,3.0,3.0
5de57a5b1017854f8a4efca3,40.0,1,1.0,8.0,healthy,2100.0,11630.0,,1401.0,11530.0,7680.0,3587.0,7501.0,13526.0,8.0,10.0,40.0,0.2141651641257343,6.0,0.0,4.0,0.0,25.0,87.5,ifelqzj3,baseline,53.0,0.0,1.0,7.0,5.0,1.0,1.0,0.0,3.0,7.0,4.0,6.0,7.0,6.0,650.5,,4.0
6161c4cc2d4f503e8265038e,60.0,1,0.0,20.0,healthy,3612.0,1278.0,,1284.0,,3109.0,1092.0,2889.0,5771.0,20.0,0.0,50.0,0.2141651641257343,6.0,0.0,4.0,0.0,10.0,65.0,ifelqzj3,varinfo,27.0,1.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,439.0,7.0,7.0
60735ba783112811b736c8da,100.0,1,0.0,49.0,healthy,3892.0,18150.0,,1647.0,,25041.0,12000.0,14128.0,13814.0,49.0,35.0,42.0,0.2141651641257343,6.0,0.0,4.0,0.0,25.0,87.5,ifelqzj3,posinfo,44.0,1.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,754.5,6.0,4.0
60187851316976127d909f30,40.0,1,0.0,26.0,ill,3.0,,,97.0,174.0,6.0,,9.0,208.0,26.0,20.0,40.0,0.7359452599427667,2.0,0.0,5.5,0.0,15.0,35.0,ifelqzj3,fullinfo,42.0,1.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,473.0,9.0,0.0
5ea00d4b1286ee0008405450,20.0,1,0.0,11.0,healthy,,,,,,13415.0,17909.0,39869.0,40187.0,11.0,10.0,10.0,0.7359452599427667,2.0,0.0,5.5,0.0,10.0,40.0,ifelqzj3,neginfo,58.0,1.0,0.0,8.0,3.0,1.5,0.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,499.0,7.0,5.0
63468bca8b362157c0a33cfd,20.0,1,1.0,15.0,ill,,,,,,,5.0,7.0,19.0,15.0,15.0,55.0,0.7359452599427667,2.0,0.0,5.5,0.0,30.0,95.0,ifelqzj3,varinfo,26.0,0.0,0.0,8.0,3.0,4.0,1.0,1.0,5.0,6.0,7.0,9.0,5.0,4.0,580.0,,
5e42c26bcea1861491e28258,80.0,1,0.0,17.0,healthy,,178.0,,,9974.0,7329.0,4172.0,8968.0,12769.0,17.0,10.0,58.25,0.7359452599427667,2.0,0.0,5.5,0.0,50.0,0.0,ifelqzj3,baseline,50.0,0.0,1.0,7.0,5.0,1.0,1.0,0.0,4.0,6.0,10.0,7.0,2.0,6.0,526.0,4.0,8.0
5dfedfbb557425b599c8c523,100.0,1,1.0,27.0,ill,1462.0,33322.0,,2748.0,,27281.0,21136.0,14818.0,34968.0,27.0,30.0,72.75,0.7359452599427667,2.0,0.0,5.5,0.0,0.0,50.0,ifelqzj3,posinfo,54.0,1.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,7.0,7.0
